,female,other_race,notchi_school,notchi_home,uni_public,acceptance_rate,music,male,caucasian,african_american,latino,asian,chi_school,chi_home,financial_aid,median_income
138,1,0,1,1,0,9.0,0,0,0,1,0,0,0,0,0.0,85693.0
139,1,0,1,1,0,17.0,0,0,1,0,0,0,0,0,0.0,70682.0
140,1,1,0,0,1,60.0,0,0,1,0,0,0,1,1,0.0,61110.0
141,1,0,0,0,0,51.0,0,0,0,0,1,0,1,1,6.0,52037.0
142,1,0,1,1,1,65.0,1,0,1,0,0,0,0,0,0.0,171585.0
143,0,0,1,1,1,60.0,1,1,1,1,0,0,0,0,7.0,53649.0
144,0,0,1,1,0,32.4,1,1,1,0,0,0,0,0,2.0,74288.0
145,0,0,1,1,0,13.0,1,1,1,0,0,0,0,0,2.5,79797.0
146,1,0,1,1,0,6.0,0,0,0,0,0,1,0,0,0.0,132754.0
147,1,0,1,1,0,11.0,1,0,0,0,0,1,0,0,0.0,80228.0
148,0,0,1,1,0,11.0,1,1,0,0,0,1,0,0,5.0,137739.0
149,0,0,1,1,1,60.0,0,1,1,0,0,0,0,0,0.0,137739.0
150,1,0,1,1,0,11.0,0,0,0,0,0,1,0,0,0.0,102484.0
151,0,0,1,1,0,72.3,1,1,1,0,0,0,0,0,10.0,63188.0
152,1,0,1,1,1,62.0,0,0,1,0,0,0,0,0,2.0,70574.0
153,1,0,1,1,0,11.0,0,0,1,0,0,0,0,0,0.0,81994.0
154,0,0,1,1,0,14.0,0,1,0,0,0,1,0,0,0.0,41049.0
155,0,0,1,1,0,68.0,1,1,1,0,0,0,0,0,0.0,89179.0
156,1,0,1,1,0,38.0,0,0,1,0,0,0,0,0,0.0,92566.0
157,1,0,1,1,0,11.0,1,0,1,0,0,0,0,0,0.0,101941.0
158,0,1,1,1,1,100.0,0,1,0,0,0,0,0,0,0.0,91954.0
159,0,0,1,1,0,9.0,0,1,1,0,0,0,0,0,0.0,111059.0
160,1,0,1,1,0,73.0,0,0,1,0,0,0,0,0,0.0,132754.0
161,0,0,1,1,1,84.0,0,1,0,0,0,1,0,0,5.0,76038.0
162,0,0,1,1,0,13.0,1,1,1,0,0,0,0,0,0.0,70229.0
163,1,0,1,1,0,7.0,0,0,0,0,0,1,0,0,0.0,88432.0
164,0,0,1,1,0,11.0,0,1,1,0,0,0,0,0,0.0,78326.0
165,0,0,1,1,1,100.0,0,1,1,0,0,0,0,0,0.0,92566.0
166,0,0,1,1,1,60.0,1,1,1,0,0,0,0,0,0.0,101941.0
167,1,0,1,0,0,3.0,1,0,1,0,0,0,0,1,0.0,78623.0
168,1,0,1,1,1,29.0,1,0,0,0,0,1,0,0,0.0,132754.0
169,0,0,1,1,1,60.0,0,1,0,0,0,1,0,0,0.0,108159.0
170,1,0,1,1,1,29.0,1,0,1,0,0,0,0,0,0.0,81994.0
171,1,0,1,1,0,49.0,1,0,1,0,0,0,0,0,4.0,71610.0
172,1,0,0,0,0,11.0,0,0,0,0,0,1,1,1,0.0,37864.0
173,0,0,1,1,0,11.0,1,1,1,0,0,0,0,0,0.0,157708.0
174,0,0,1,1,0,19.0,1,1,1,0,0,0,0,0,0.0,100980.0
175,0,0,1,1,0,8.0,0,1,1,0,0,0,0,0,6.0,79954.0
176,0,1,1,1,0,46.0,1,1,0,0,0,0,0,0,6.5,87216.0
177,0,0,1,1,0,8.0,0,1,0,0,0,1,0,0,0.0,117974.0
178,1,0,0,0,0,7.0,0,0,0,0,0,1,1,1,0.0,85578.0
179,1,0,1,1,1,84.0,0,0,1,0,0,0,0,0,0.0,97596.0
180,0,0,1,1,0,35.0,1,1,0,0,0,1,0,0,0.0,100879.0
181,1,0,1,1,0,70.0,1,0,1,0,0,0,0,0,2.5,44161.0
182,1,0,1,1,0,11.0,1,0,1,0,0,0,0,0,5.0,80228.0
183,1,0,0,1,0,7.2,1,0,1,0,0,0,1,0,10.0,88903.0
184,1,0,1,1,1,74.0,0,0,1,0,0,0,0,0,0.0,101810.0
185,0,0,1,1,1,100.0,0,1,1,0,0,0,0,0,0.0,53099.0
186,1,0,0,0,0,11.0,0,0,1,0,0,0,1,1,0.0,49517.0
187,0,0,1,1,0,14.0,0,1,1,0,0,0,0,0,0.0,137739.0
188,0,0,1,1,0,,0,1,1,0,0,0,0,0,0.0,58390.0
189,1,0,0,0,1,79.0,1,0,1,0,0,0,1,1,10.0,74841.0
190,1,0,1,1,0,,0,0,1,0,0,0,0,0,0.0,89093.0
191,1,0,1,1,0,35.0,1,0,1,0,0,0,0,0,0.0,92566.0
